index,ids_index,ids_name
815,1058,embrace
816,1059,pain
817,1060,"grief, sorrow, sadness"
818,1061,"anxiety, worry"
819,1062,"regret, be sorry"
820,1063,pity
821,1064,"cry, weep"
822,1065,tear (noun)
823,1067,hate
824,1068,anger
825,1069,"envy, jealousy"
826,1070,shame (noun)
827,1071,proud
828,1072,dare
829,1073,brave
830,1074,"fear, fright"
831,1075,danger
832,1076,"desire, want"
833,1077,choose
834,1078,hope
835,1079,faithful
836,1081,"lie, tell lies"
837,1082,deceit
838,1083,forgive
839,1084,good
840,1085,bad
841,1086,"right, correct"
842,1087,wrong
843,1088,fault
844,1089,"mistake, error"
845,1090,blame
846,1091,praise
847,1092,beautiful
848,1093,ugly
849,1095,clever
850,1096,mind
851,1097,think (= reflect)
852,1098,think (= be of the opinion)
853,1099,believe
854,1100,understand
855,1101,know
856,1102,guess
857,1103,imitate
858,1104,seem
859,1105,"idea, notion"
860,1106,wise
861,1107,"foolish, stupid"
862,1108,"insane, crazy"
863,1109,learn
864,1110,study
865,1111,teach
866,1112,pupil
867,1113,teacher
868,1114,school
869,1115,remember
870,1116,forget
871,1117,"clear, plain"
872,1118,obscure
873,1119,secret
874,1120,"sure, certain"
875,1121,explain
876,1122,"intention, purpose"
877,1123,cause
878,1124,doubt
879,1125,suspect
880,1126,betray
881,1127,"need, necessity"
882,1128,easy
883,1129,difficult
884,1130,"try, attempt"
885,1131,"way, manner"
886,1133,because
887,1136,"yes, affirmative"
888,1137,"no, negative"
889,1138,how?
890,1141,what?
891,1142,when?
892,1143,where?
893,1145,who?
894,1146,why?
895,1147,voice
896,1148,sing
897,1149,"shout, cry out"
898,1150,whisper
899,1152,whistle
900,1155,"speak, talk"
901,1157,say
902,1159,speech (make a)
903,1160,silent (be)
904,1161,language
905,1162,word
906,1163,name
907,1164,"ask (question, inquire)"
908,1165,answer
909,1166,"admit, confess"
910,1167,deny
911,1168,"ask, request"
912,1169,promise
913,1170,refuse
914,1171,forbid
915,1172,"rebuke, scold"
916,1173,call (=summon)
917,1174,call (=name)
918,1175,announce
919,1178,write
920,1179,read
921,1180,paper
922,1181,pen
923,1182,book
924,1183,poet
925,1184,flute
926,1185,drum
927,1186,"horn, trumpet"
928,1187,rattle
929,1188,country
930,1190,"city, town"
931,1191,village
932,1192,boundary
933,1193,people (populace)
934,1194,"tribe, clan"
935,1195,"chief, chieftain"
936,1196,"staff, walking stick"
937,1197,"rule, govern"
938,1198,"king, ruler"
939,1199,queen
940,1201,"citizen, subject"
941,1202,master
942,1203,slave
943,1204,servant
944,1206,"command, order"
945,1207,obey
946,1208,"let, permit"
947,1209,"friend, companion"
948,1210,enemy
949,1211,neighbor
950,1212,stranger
951,1213,guest
952,1214,host
953,1215,"help, aid"
954,1217,custom
955,1218,"strife, quarrel"
956,1219,"conspiracy, plot"
957,1220,meet
958,1222,fight (vb)
959,1223,"war, battle"
960,1224,peace
961,1225,army
962,1226,soldier
963,1227,"weapons, arms"
964,1228,club
965,1230,sling
966,1231,bow
967,1232,arrow
968,1234,sword
969,1235,"gun, cannon"
970,1236,armor (defensive)
971,1237,helmet
972,1238,shield
973,1240,tower
974,1241,victory
975,1242,defeat
976,1243,attack
977,1244,defend
978,1245,retreat
979,1247,"captive, prisoner"
980,1248,"guard, sentinel"
981,1256,bait
982,1257,hunt
983,1258,shoot
984,1259,miss (target)
985,1260,trap (noun)
986,1261,trap (vb)
987,1262,law
988,1263,court
989,1264,judge (vb)
990,1265,judgment
991,1266,judge (noun)
992,1269,witness
993,1270,swear
994,1271,oath
995,1272,accuse
996,1273,condemn
997,1274,convict (vb)
998,1276,guilty
999,1277,innocent
1000,1278,"penalty, punishment"
1001,1279,fine
1002,1280,"prison, jail"
1003,1281,murder
1004,1282,adultery
1005,1283,rape
1006,1285,perjury
1007,1286,steal
1008,1287,thief
1009,1288,religion
1010,1290,"temple, church"
1011,1293,worship
1012,1294,pray
1013,1295,priest
1014,1296,"holy, sacred"
1015,1298,bless
1016,1299,curse
1017,1300,fast (vb)
1018,1301,heaven
1019,1302,hell
1020,1303,demon (evil spirit)
1021,1304,idol
1022,1305,"magic, witchcraft, sorcery"
1023,1306,"sorcerer, witch"
1024,1307,"fairy, elf"
1025,1308,"ghost, phantom"
